.id,X.,Heb.je.een.Kamer.van.Koophandel.nummer.,Wat.is.jouw.professionele.titel.,Met.welke.activiteit.verdien.je.het.grootste.deel.van.je.omzet.,Waarom.heb.je.je.aangemeld.voor.dit.programma.,Hoeveel.nadruk.denk.je.dat.er.gaat.worden.gelegd.op..Business.skills..,Hoeveel.nadruk.denk.je.dat.er.gaat.worden.gelegd.op..Artistieke.skills...,En.hoeveel.nadruk.denk.je.dat.er.gaat.worden.gelegd.op..Psychologische.skills..,Is.er.naast.Business..Artistieke.en.Psychologische.skills.nog.een.soort.skills.die.niet.genoemd.is.en.die.je.wel.erg.belangrijk.vindt..,Welke.soort.skills.mis.je.nog.in.de.voorgaande.vragen.en.wil.je.wel.op.focussen.in.de.training.die.je.gaat.doen.,Hoeveel.nadruk.denk.je.dat.er.gaat.worden.gelegd.op...field.81db4bc4.62bf.4021.b511.b9f01866065f....in.de.training.die.je.gaat.volgen.,Aan.welke.onderdelen.denk.jij.het.meest.te.hebben.om.jouw.doelen.te.bereiken.,Kun.je.toelichten.waarom.je...field.a3329bb5.67ab.418c.a388.237285d8ecda...hebt.gekozen.,Wat.is.je.maandelijkse.omzet.,Welk.deel.van.je.omzet.verdien.je.met.je.creatieve.activiteiten.,In.de.komende.12.maanden.wil.ik.praktische.experimenten.doen.om.oplossingen.te.bedenken.voor.mijn.klanten.en.opdrachtgevers...,In.de.komende.12.maanden.ben.ik.van.plan.om.een.prototype.te.ontwikkelen.voor.een.product.of.dienst...,In.de.komende.12.maanden.ben.ik.van.plan.om.een.waardepropositie.te.ontwikkelen...,In.de.komende.12.maanden.ben.ik.van.plan.om.mijn.waardepropositie.te.testen.in.de.markt...,In.de.komende.12.maanden.ben.ik.van.plan.om.te.stoppen.met.mijn..bij.baan.of.veel.minder.tijd.aan.mijn..bij.baan.te.spenderen..zodat.ik.me.kan.focussen.op.mijn.onderneming...,In.de.komende.12.maanden.ben.ik.van.plan.om.mijn.eigen.geld.in.mijn.onderneming.te.investeren...,In.de.komende.12.maanden.ben.ik.van.plan.om.een..extra..zakelijke.bankrekening.te.openen.....,In.de.komende.12.maanden.ben.ik.van.plan.om.dure.apparatuur.aan.te.schaffen.voor.mijn.onderneming.....,In.de.komende.12.maanden.ben.ik.van.plan.om.te.zoeken.naar.financiering.voor.mijn.plannen......,Ik.herken.altijd.kansen,Ik.ben.creatief,Ik.kan.goed.problemen.oplossen,Ik.ben.een.goede.leider,Het.is.makkelijk.om.met.anderen.te.communiceren,Ik.heb.altijd.nieuwe.ideeën,Ik.maak.makkelijk.contact,Ik.heb.zelfvertrouwen,Ik.heb.analytisch.vermogen,Ik.ben.optimistisch,Ik.hou.van.authenticiteit..bij.jezelf.blijven.,Ik.ben.doelgericht,Ik.ben.daadkrachtig,Ik.ben.nieuwsgierig,Ik.heb.discipline,Ik.heb.sociaal.adaptatievermogen,Ik.ben.communicatief,Ik.ben.efficiënt,Ik.heb.verantwoordelijkheidsgevoel,Ik.heb.doorzettingsvermogen,Ik.heb.zelfkennis,Ik.heb.empatisch.vermogen,Ik.ben.goed.in.leiderschap,Ik.ben.stressbestendig,Ik.doe.altijd.goed.mijn.best..ook.wanneer.het.moeilijk.is,Ik.stop.veel.energie.in.het.verbeteren.van.mijn..werk.resultaten,Ik.probeer.altijd.extra.verantwoordelijkheden.te.nemen,Ik.probeer.betere.resultaten.te.halen.dan.mijn.vakgenoten,Als.ik.plannen.maak.weet.ik.zeker.dat.ze.werken,Als.ik.iets.goed.doe..komt.dat.door.mijn.vaardigheden.en.niet.door.geluk,Wat.mij.overkomt.komt.door.mijn.eigen.gedrag,Veel.ongelukkige.gebeurtenissen.in.het.leven.van.een.persoon.komen.door.pech.,Een.goede..creatieve..business.hebben.komt.voornamelijk.door.op.het.juiste.moment.op.de.juiste.plek.te.zijn,Soms.heb.ik.het.idee.dat.ik.niet.genoeg.controle.heb.over.mijn.leven,Niets.is.interessanter.dan.leven.onder.steeds.veranderende.omstandigheden,Innovatieve.mensen.en.mensen.die.risico.s.nemen.bereiken.meer.in.het.leven.dan.geordende.mensen,Als.je.echt.wilt.genieten.van.je.vakantie..moet.je.deze.goed.plannen,Hetzelfde.doen.op.dezelfde.plek.voor.een.lange.periode.leidt.tot.een.gelukkig.leven,Start.Date..UTC.,Submit.Date..UTC.,Network.ID,Tags
WerktuigPPO |  FebMar,hzvf49g1a58e7vzrb2hzvf4p1odypzo5,Ja,Creatieveling,Schrijven,"Omdat ik een (fulltime) creatieve professional wil worden,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn omzet te vergroten,Om mijn persoonlijke vaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",10,10,8,1,"Gevoel, intrinsieke motivatie",10,Onderzoeken van nieuwe mogelijkheden,Omdat ik me volledig wil gaan richten op het maken,€ 1.000 - € 1.500,100,Helemaal niet mee eens,Mee eens,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal niet mee eens,Helemaal niet mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Niet mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Niet mee eens,Niet mee eens,Mee eens,Helemaal mee eens,Niet mee eens,Helemaal niet mee eens,2022-05-03 15:27:35,2022-05-03 15:37:07,58f94f769e,NA
WerktuigPPO |  FebMar,nswza4edh14tu7inswzaffc8uxabingi,Ja,Kunstzinnig ondernemer,produceren,"Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik een (fulltime) creatieve professional wil worden,Om mijn omzet te vergroten,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Om mezelf meer als ondernemer te profileren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",6,8,6,0,,NA,,,Gaat je niks aan,100,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Mee eens,Helemaal niet mee eens,Helemaal niet mee eens,Helemaal niet mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Niet mee eens,Neutraal,Neutraal,Neutraal,Niet mee eens,Mee eens,Neutraal,Mee eens,Niet mee eens,Neutraal,Mee eens,Niet mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Mee eens,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Niet mee eens,Niet mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Neutraal,Niet mee eens,Mee eens,Niet mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Niet mee eens,Mee eens,Neutraal,2022-05-03 15:21:58,2022-05-03 15:31:50,8cf8cf8e75,NA
WerktuigPPO |  FebMar,k8zjf5977uaw7x3tmok8zjf594l5gqb8,Ja,"Play, design & learning consultant",conceptontwikkeling en ontwerpen van experiential learning tools,"Om mijn ondernemerschapsvaardigheden te verbeteren,Omdat ik een (fulltime) creatieve professional wil worden,Om mijn omzet te vergroten,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik de waarde van mijn creativiteit wil bepalen,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik een gebrek aan zakelijke kennis heb,Om mijn bestaande creatieve onderneming beter te leren managen,Om mezelf meer als ondernemer te profileren,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Om mijn persoonlijke vaardigheden te verbeteren,Anders",8,2,7,0,,NA,,,€ 2.000 - € 2.500,90,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Helemaal niet mee eens,Helemaal niet mee eens,Neutraal,Neutraal,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Neutraal,Mee eens,Neutraal,Niet mee eens,Niet mee eens,Neutraal,Neutraal,Niet mee eens,Niet mee eens,2022-05-03 14:58:46,2022-05-03 15:09:02,ab4a4f036a,NA
WerktuigPPO |  FebMar,8z8jvfnu0a0ygi2zwhhc1m8z8jvfnv5l,Ja,Interieurontwerper,interieurontwerpen maken,"Om mijn omzet te vergroten,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Om mijn ondernemerschapsvaardigheden te verbeteren,Omdat ik de waarde van mijn creativiteit wil bepalen,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mezelf meer als ondernemer te profileren,Omdat ik een gebrek aan zakelijke kennis heb,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik een (fulltime) creatieve professional wil worden,Anders",10,0,7,0,,NA,,,€ 2.000 - € 2.500,90,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Niet mee eens,Niet mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Neutraal,Mee eens,Helemaal mee eens,Niet mee eens,Niet mee eens,Niet mee eens,Neutraal,Niet mee eens,Niet mee eens,Niet mee eens,2022-05-03 14:33:34,2022-05-03 14:50:44,1eef7ca034,NA
WerktuigPPO |  FebMar,84tne70ztvbzumoi84tnektxhsc8gl6u,Ja,Interieurstyliste,verkoop,"Om mijn omzet te vergroten,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik een (fulltime) creatieve professional wil worden,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Om mezelf meer als ondernemer te profileren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",10,0,8,0,,NA,,,Meer dan € 5.000,50,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Mee eens,Helemaal niet mee eens,Mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Niet mee eens,Niet mee eens,Mee eens,Mee eens,Helemaal mee eens,Niet mee eens,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Niet mee eens,Helemaal niet mee eens,Niet mee eens,Helemaal niet mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,2022-05-03 09:22:10,2022-05-03 09:29:57,60aac20982,NA
WerktuigPPO |  FebMar,fchz1rt5aaea7h1e10byfchz1rttmb32,Ja,Portret- en landschapsschilder,Kantoorbaan (vast werk) en qua bedrijf met werken in opdracht,"Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik een (fulltime) creatieve professional wil worden,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Om mijn persoonlijke vaardigheden te verbeteren,Om mijn omzet te vergroten,Om mezelf meer als ondernemer te profileren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",7,3,8,0,,NA,,,Minder dan €1.000,15,Neutraal,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal niet mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Neutraal,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Neutraal,Neutraal,Helemaal mee eens,Helemaal mee eens,Niet mee eens,Neutraal,Neutraal,Mee eens,Neutraal,Helemaal mee eens,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Helemaal niet mee eens,Mee eens,Niet mee eens,Helemaal mee eens,Helemaal niet mee eens,Mee eens,2022-05-03 06:32:07,2022-05-03 06:46:13,d496bb7545,NA
WerktuigPPO |  FebMar,bi7o17txuvkkjf51kdbi7o1dd3bvwxxq,Ja,Interieur ontwerper,50% produceren  30% verkoop 20% ontwerp,"Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik een (fulltime) creatieve professional wil worden,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders,Om mijn omzet te vergroten,Om mezelf meer als ondernemer te profileren",5,8,9,0,,NA,,,Gaat je niks aan,70,Mee eens,Mee eens,Mee eens,Niet mee eens,Neutraal,Helemaal mee eens,Neutraal,Mee eens,Niet mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Neutraal,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Helemaal mee eens,Niet mee eens,Mee eens,Neutraal,Niet mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Neutraal,Neutraal,Mee eens,Helemaal niet mee eens,Helemaal niet mee eens,2022-05-02 14:07:07,2022-05-02 14:19:11,10fe2e4ca3,NA
WerktuigPPO |  FebMar,2y7na7usqmixsf4opsmw62y7n092opc5,Ja,Stijlcoach,Interieur advies,"Anders,Om mijn omzet te vergroten,Om mezelf meer als ondernemer te profileren,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn persoonlijke vaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik de waarde van mijn creativiteit wil bepalen,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik een gebrek aan zakelijke kennis heb",8,6,6,0,,NA,,,Gaat je niks aan,90,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Neutraal,Helemaal niet mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Niet mee eens,Neutraal,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal niet mee eens,Neutraal,Niet mee eens,Mee eens,Helemaal mee eens,Neutraal,Niet mee eens,2022-05-02 11:25:59,2022-05-02 11:49:29,9ed5a1d4c4,NA
WerktuigPPO |  FebMar,ywcelf7o4osxivp6ib8qywcelyz54o46,Ja,muzikant,performance/ subsidy,"Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mijn bestaande creatieve onderneming beter te leren managen,Om mijn persoonlijke vaardigheden te verbeteren,Om mijn omzet te vergroten,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Anders",2,8,0,1,motivation for creativity,9,Concrete problemen oplossen,writing an application,Minder dan €1.000,60,Helemaal mee eens,Neutraal,Neutraal,Neutraal,Helemaal mee eens,Neutraal,Niet mee eens,Neutraal,Mee eens,Neutraal,Helemaal mee eens,Neutraal,Mee eens,Neutraal,Mee eens,Niet mee eens,Neutraal,Neutraal,Mee eens,Neutraal,Neutraal,Neutraal,Neutraal,Mee eens,Niet mee eens,Neutraal,Neutraal,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Niet mee eens,Niet mee eens,Mee eens,Niet mee eens,Niet mee eens,Neutraal,2022-05-02 10:36:33,2022-05-02 10:56:59,e1436e34de,NA
WerktuigPPO |  FebMar,nz7xzh6f3we6x6abql4twnz7xzh601av,Ja,Zingende tuinontwerpster,tuinontwerp,"Om mijn omzet te vergroten,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Om mezelf meer als ondernemer te profileren,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik een gebrek aan zakelijke kennis heb,Anders,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik een (fulltime) creatieve professional wil worden",10,10,10,0,,NA,,,Meer dan € 5.000,60,Mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Mee eens,Helemaal mee eens,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Niet mee eens,Niet mee eens,Mee eens,Neutraal,Niet mee eens,Niet mee eens,2022-05-02 10:05:34,2022-05-02 10:12:36,e7904a0033,NA
WerktuigPPO |  FebMar,fth5kjcvuwzzxh3vsq20qw8fth5kjccf,Ja,schrijfcoach,coachen,"Om mijn omzet te vergroten,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Om mijn ondernemerschapsvaardigheden te verbeteren,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik een (fulltime) creatieve professional wil worden,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een gebrek aan zakelijke kennis heb,Om mijn persoonlijke vaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",9,2,9,0,,NA,,,Minder dan €1.000,10,Niet mee eens,Helemaal mee eens,Mee eens,Neutraal,Neutraal,Niet mee eens,Helemaal niet mee eens,Mee eens,Neutraal,Mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Mee eens,Helemaal mee eens,Neutraal,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Niet mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal niet mee eens,Mee eens,Niet mee eens,Mee eens,Neutraal,Neutraal,Niet mee eens,Niet mee eens,Helemaal niet mee eens,Niet mee eens,Niet mee eens,Neutraal,2022-05-02 09:26:57,2022-05-02 09:55:10,b7991d2115,NA
WerktuigPPO |  FebMar,zs52eabhlv467mxxm3kixqu8plzs52ea,Ja,Fotograaf,fotografie,"Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn omzet te vergroten,Om mijn bestaande creatieve onderneming beter te leren managen,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mezelf meer als ondernemer te profileren,Omdat ik een (fulltime) creatieve professional wil worden,Anders",9,0,9,0,,NA,,,€ 1.500 - € 2.000,100,Helemaal mee eens,Mee eens,Neutraal,Neutraal,Niet mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Niet mee eens,Helemaal mee eens,Mee eens,Mee eens,Neutraal,Niet mee eens,Mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Neutraal,Mee eens,Neutraal,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Neutraal,Helemaal niet mee eens,Mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Niet mee eens,Neutraal,Mee eens,Neutraal,Niet mee eens,Neutraal,Neutraal,Helemaal mee eens,Mee eens,Niet mee eens,2022-05-02 08:11:54,2022-05-02 09:15:00,755d432091,NA
WerktuigPPO |  FebMar,89iq7dne6nvfjd7tzs89iq7dniiijhpy,Ja,Fotograaf,Fotograferen,"Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn omzet te vergroten,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik een (fulltime) creatieve professional wil worden,Om mijn bestaande creatieve onderneming beter te leren managen,Om mezelf meer als ondernemer te profileren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",8,4,7,0,,NA,,,€ 1.500 - € 2.000,80,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Niet mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Niet mee eens,Neutraal,Neutraal,Mee eens,Niet mee eens,Niet mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Niet mee eens,2022-05-02 07:44:02,2022-05-02 07:51:04,7ed37e6f70,NA
WerktuigPPO |  FebMar,1hz8emin4zxm5s2f1hz8emikmkclogt8,Ja,Ontwerper en fotograaf,Creatieve branding,"Om mijn ondernemerschapsvaardigheden te verbeteren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn omzet te vergroten,Om mijn persoonlijke vaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Om mezelf meer als ondernemer te profileren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Omdat ik een (fulltime) creatieve professional wil worden,Anders",8,7,9,0,,NA,,,€ 2.000 - € 2.500,90,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Niet mee eens,Neutraal,Helemaal niet mee eens,Helemaal niet mee eens,Helemaal niet mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Niet mee eens,Neutraal,Mee eens,Neutraal,Niet mee eens,Neutraal,Niet mee eens,Niet mee eens,Niet mee eens,Niet mee eens,2022-05-02 07:00:34,2022-05-02 07:13:35,505c9d9f43,NA
